Unload Time: 0, Trucker: Cindy 'Truckin' Troubadour' Reed, Company: Big Sky Express, ID Num: C1, Price of Crate: 266, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 160, Trucker: Brian 'Hauling Hope' Reed, Company: Silver Arrow Shipping, ID Num: C0, Price of Crate: 232, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 160, Trucker: Brad 'Long Hauler' Evans, Company: Green Line Express, ID Num: C4, Price of Crate: 229, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 160, Trucker: Cindy 'Truckin' Troubadour' Reed, Company: Highway Haulers Co., ID Num: C3, Price of Crate: 284, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 160, Trucker: Joe 'Cargo Commander' Martin, Company: Redwood Trucking Group, ID Num: C3, Price of Crate: 74, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 170, Trucker: Alan 'Highway Heroic' Wilson, Company: Freedom Truck Lines, ID Num: C4, Price of Crate: 288, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 170, Trucker: John 'Truckin' Titan' Young, Company: Pioneer Trucking Solutions, ID Num: C2, Price of Crate: 437, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 170, Trucker: Alan 'Highway Heroic' Wilson, Company: Swift Roadways Ltd., ID Num: C1, Price of Crate: 125, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 170, Trucker: Frank 'Trucker Tornado' Davis, Company: Starlight Freight Services, ID Num: C0, Price of Crate: 277, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 170, Trucker: Chris 'Haulin' Hope' Martinez, Company: Trucker's Choice Transport, ID Num: C1, Price of Crate: 140, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 170, Trucker: Brad 'Long Hauler' Evans, Company: Green Line Express, ID Num: C3, Price of Crate: 461, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 170, Trucker: Cindy 'Truckin' Troubadour' Reed, Company: Highway Haulers Co., ID Num: C2, Price of Crate: 243, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 170, Trucker: Joe 'Cargo Commander' Martin, Company: Redwood Trucking Group, ID Num: C2, Price of Crate: 474, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 170, Trucker: Andy 'Truckin' Tornado' Stewart, Company: Windy City Carriers, ID Num: C2, Price of Crate: 54, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 180, Trucker: Alan 'Highway Heroic' Wilson, Company: Freedom Truck Lines, ID Num: C3, Price of Crate: 187, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 180, Trucker: John 'Truckin' Titan' Young, Company: Pioneer Trucking Solutions, ID Num: C1, Price of Crate: 393, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 180, Trucker: Alan 'Highway Heroic' Wilson, Company: Swift Roadways Ltd., ID Num: C0, Price of Crate: 121, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 180, Trucker: Lisa 'Road Warrior' Parker, Company: Highway Haulers Co., ID Num: C2, Price of Crate: 469, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 180, Trucker: Chris 'Haulin' Hope' Martinez, Company: Trucker's Choice Transport, ID Num: C0, Price of Crate: 380, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 180, Trucker: Brad 'Long Hauler' Evans, Company: Green Line Express, ID Num: C2, Price of Crate: 273, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 180, Trucker: Cindy 'Truckin' Troubadour' Reed, Company: Highway Haulers Co., ID Num: C1, Price of Crate: 262, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 180, Trucker: Joe 'Cargo Commander' Martin, Company: Redwood Trucking Group, ID Num: C1, Price of Crate: 301, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 180, Trucker: Andy 'Truckin' Tornado' Stewart, Company: Windy City Carriers, ID Num: C1, Price of Crate: 90, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 190, Trucker: Alan 'Highway Heroic' Wilson, Company: Freedom Truck Lines, ID Num: C2, Price of Crate: 266, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 190, Trucker: John 'Truckin' Titan' Young, Company: Pioneer Trucking Solutions, ID Num: C0, Price of Crate: 361, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 190, Trucker: David 'Trucker Trekker' Anderson, Company: Patriot Road Warriors, ID Num: C0, Price of Crate: 304, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 190, Trucker: Lisa 'Road Warrior' Parker, Company: Highway Haulers Co., ID Num: C1, Price of Crate: 87, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 190, Trucker: Brad 'Long Hauler' Evans, Company: Green Line Express, ID Num: C1, Price of Crate: 170, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 190, Trucker: Cindy 'Truckin' Troubadour' Reed, Company: Highway Haulers Co., ID Num: C0, Price of Crate: 279, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 190, Trucker: Joe 'Cargo Commander' Martin, Company: Redwood Trucking Group, ID Num: C0, Price of Crate: 213, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 190, Trucker: Andy 'Truckin' Tornado' Stewart, Company: Windy City Carriers, ID Num: C0, Price of Crate: 170, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 200, Trucker: Alan 'Highway Heroic' Wilson, Company: Freedom Truck Lines, ID Num: C1, Price of Crate: 204, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 200, Trucker: Heather '18-Wheeler' Reed, Company: Sunset Transport Systems, ID Num: C3, Price of Crate: 82, Scenario: A crate was unloaded, but the truck still has more crates to unload.
